Bulk mode; whois.cymru.com [2015-11-20 16:36:36 +0000]
3       | 128.52.128.0     | 128.52.0.0/16       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3320    | 79.210.239.0     | 79.192.0.0/10       | DE | ripencc  | 2007-06-06 | DTAG Deutsche Telekom AG,DE
3320    | 84.144.84.0      | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Deutsche Telekom AG,DE
3320    | 84.158.228.0     | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Deutsche Telekom AG,DE
3320    | 84.174.98.0      | 84.128.0.0/10       | DE | ripencc  | 2004-03-10 | DTAG Deutsche Telekom AG,DE
3320    | 87.169.122.0     | 87.128.0.0/10       | DE | ripencc  | 2006-03-30 | DTAG Deutsche Telekom AG,DE
3320    | 91.51.224.0      | 91.0.0.0/10         | DE | ripencc  | 2006-07-03 | DTAG Deutsche Telekom AG,DE
3320    | 93.212.110.0     | 93.192.0.0/10       | DE | ripencc  | 2008-02-12 | DTAG Deutsche Telekom AG,DE
3356    | 4.31.64.0        | 4.0.0.0/9           | US | arin     |            | LEVEL3 - Level 3 Communications, Inc.,US
3462    | 1.169.192.0      | 1.169.0.0/16        | TW | apnic    | 2010-05-05 | HINET Data Communication Business Group,TW
3462    | 59.115.125.0     | 59.115.0.0/16       | TW | apnic    | 2004-09-09 | HINET Data Communication Business Group,TW
3462    | 59.127.163.0     | 59.127.128.0/17     | TW | apnic    | 2005-10-18 | HINET Data Communication Business Group,TW
3462    | 60.248.162.0     | 60.248.0.0/16       | TW | apnic    | 2004-10-29 | HINET Data Communication Business Group,TW
3462    | 61.219.119.0     | 61.219.0.0/16       | TW | apnic    | 2001-01-17 | HINET Data Communication Business Group,TW
3549    | 190.216.2.0      | 190.216.0.0/18      | AR | lacnic   | 2007-10-04 | LVLT-3549 - Level 3 Communications, Inc.,US
3595    | 173.230.134.0    | 173.230.128.0/20    | US | arin     | 2010-03-15 | GNAXNET-AS - Global Net Access, LLC,US
3595    | 173.230.142.0    | 173.230.128.0/20    | US | arin     | 2010-03-15 | GNAXNET-AS - Global Net Access, LLC,US
3595    | 192.155.93.0     | 192.155.92.0/22     | US | arin     | 2012-10-22 | GNAXNET-AS - Global Net Access, LLC,US
3595    | 45.79.207.0      | 45.79.192.0/20      | US | arin     | 2015-04-29 | GNAXNET-AS - Global Net Access, LLC,US
3595    | 50.116.42.0      | 50.116.32.0/20      | US | arin     | 2011-08-30 | GNAXNET-AS - Global Net Access, LLC,US
3595    | 50.116.46.0      | 50.116.32.0/20      | US | arin     | 2011-08-30 | GNAXNET-AS - Global Net Access, LLC,US
3927    | 198.180.150.0    | 198.180.150.0/24    | US | arin     |            | RGNET-WAO - RGnet, LLC,US
4224    | 162.247.72.0     | 162.247.72.0/24     | US | arin     | 2014-04-18 | CALYX-AS - The Calyx Institute,US
4224    | 162.247.73.0     | 162.247.73.0/24     | US | arin     | 2014-04-18 | CALYX-AS - The Calyx Institute,US
4323    | 207.201.223.0    | 207.201.208.0/20    | US | arin     |            | TWTC - tw telecom holdings, inc.,US
4589    | 195.40.181.0     | 195.40.0.0/16       | GB | ripencc  |            | EASYNET Easynet Global Services,GB
4766    | 115.144.166.0    | 115.144.166.0/24    | KR | apnic    | 2008-08-14 | KIXS-AS-KR Korea Telecom,KR
4766    | 218.144.146.0    | 218.144.0.0/13      | KR | apnic    | 2001-09-24 | KIXS-AS-KR Korea Telecom,KR
5089    | 82.46.185.0      | 82.46.0.0/15        | GB | ripencc  | 2003-01-31 | NTL Virgin Media Limited,GB
5089    | 86.11.185.0      | 86.11.0.0/16        | GB | ripencc  | 2005-03-29 | NTL Virgin Media Limited,GB
5381    | 195.159.162.0    | 195.159.0.0/16      | NO | ripencc  | 2000-02-16 | POWTECH-AS PowerTech Information Systems AS,NO
5408    | 195.251.252.0    | 195.251.0.0/16      | GR | ripencc  |            | GR-NET Greek Research and Technology Network S.A,GR
5408    | 62.217.124.0     | 62.217.64.0/18      | GR | ripencc  | 2007-12-04 | GR-NET Greek Research and Technology Network S.A,GR
5408    | 83.212.104.0     | 83.212.0.0/16       | GR | ripencc  | 2004-03-17 | GR-NET Greek Research and Technology Network S.A,GR
5408    | 83.212.118.0     | 83.212.0.0/16       | GR | ripencc  | 2004-03-17 | GR-NET Greek Research and Technology Network S.A,GR
5408    | 83.212.168.0     | 83.212.0.0/16       | GR | ripencc  | 2004-03-17 | GR-NET Greek Research and Technology Network S.A,GR
5408    | 83.212.96.0      | 83.212.0.0/16       | GR | ripencc  | 2004-03-17 | GR-NET Greek Research and Technology Network S.A,GR
5408    | 83.212.99.0      | 83.212.0.0/16       | GR | ripencc  | 2004-03-17 | GR-NET Greek Research and Technology Network S.A,GR
5432    | 109.128.3.0      | 109.128.0.0/14      | BE | ripencc  | 2009-07-27 | BELGACOM-SKYNET-AS Proximus NV,BE
5432    | 81.245.235.0     | 81.244.0.0/14       | BE | ripencc  | 2002-11-29 | BELGACOM-SKYNET-AS Proximus NV,BE
5483    | 195.228.45.0     | 195.228.45.0/24     | HU | ripencc  |            | HTC-AS Magyar Telekom Plc.,HU
5577    | 146.185.239.0    | 146.185.239.0/24    | RU | ripencc  | 2011-07-13 | ROOT root SA,LU
5577    | 212.117.180.0    | 212.117.160.0/19    | LU | ripencc  | 2007-11-08 | ROOT root SA,LU
5577    | 94.242.206.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.209.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.210.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.224.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.228.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.231.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.246.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.250.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.253.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5577    | 94.242.254.0     | 94.242.192.0/18     | LU | ripencc  | 2008-10-21 | ROOT root SA,LU
5607    | 94.8.27.0        | 94.0.0.0/12         | GB | ripencc  | 2008-05-27 | BSKYB-BROADBAND-AS Sky UK Limited,GB
5610    | 90.182.128.0     | 90.182.0.0/15       | CZ | ripencc  | 2006-09-17 | O2-CZECH-REPUBLIC O2 Czech Republic, a.s.,CZ
5645    | 206.248.184.0    | 206.248.184.0/22    | CA | arin     | 2005-03-08 | TEKSAVVY - TekSavvy Solutions, Inc.,CA
6128    | 74.89.176.0      | 74.88.0.0/15        | US | arin     | 2009-03-04 | CABLE-NET-1 - Cablevision Systems Corp.,US
6315    | 166.70.15.0      | 166.70.0.0/16       | US | arin     |            | XMISSION - XMission, L.C.,US
6315    | 166.70.207.0     | 166.70.0.0/16       | US | arin     |            | XMISSION - XMission, L.C.,US
6315    | 166.70.94.0      | 166.70.0.0/16       | US | arin     |            | XMISSION - XMission, L.C.,US
6453    | 120.29.217.0     | 120.29.192.0/19     | IN | apnic    | 2008-03-18 | AS6453 - TATA COMMUNICATIONS (AMERICA) INC,US
6461    | 209.133.66.0     | 209.133.0.0/17      | US | arin     |            | ABOVENET - Abovenet Communications, Inc,US
6461    | 209.249.157.0    | 209.249.0.0/16      | US | arin     |            | ABOVENET - Abovenet Communications, Inc,US
6461    | 209.249.180.0    | 209.249.0.0/16      | US | arin     |            | ABOVENET - Abovenet Communications, Inc,US
6461    | 50.7.141.0       | 50.7.140.0/22       | US | arin     | 2010-10-18 | ABOVENET - Abovenet Communications, Inc,US
6461    | 50.7.179.0       | 50.7.176.0/22       | US | arin     | 2010-10-18 | ABOVENET - Abovenet Communications, Inc,US
6461    | 91.234.22.0      | 91.234.22.0/24      | DE | ripencc  | 2011-12-21 | ABOVENET - Abovenet Communications, Inc,US
6659    | 195.180.11.0     | 195.180.8.0/22      | DE | ripencc  |            | NEXINTO-DE Nexinto GmbH,DE
6724    | 81.169.138.0     | 81.169.128.0/20     | DE | ripencc  | 2003-04-17 | STRATO STRATO AG,DE
6724    | 81.169.141.0     | 81.169.128.0/20     | DE | ripencc  | 2003-04-17 | STRATO STRATO AG,DE
6724    | 81.169.149.0     | 81.169.128.0/17     | DE | ripencc  | 2003-04-17 | STRATO STRATO AG,DE
6724    | 81.169.200.0     | 81.169.192.0/18     | DE | ripencc  | 2003-04-17 | STRATO STRATO AG,DE
6724    | 81.169.209.0     | 81.169.192.0/18     | DE | ripencc  | 2003-04-17 | STRATO STRATO AG,DE
6724    | 85.214.11.0      | 85.214.0.0/15       | DE | ripencc  | 2005-02-24 | STRATO STRATO AG,DE
6724    | 85.214.124.0     | 85.214.0.0/15       | DE | ripencc  | 2005-02-24 | STRATO STRATO AG,DE
6724    | 85.214.130.0     | 85.214.0.0/15       | DE | ripencc  | 2005-02-24 | STRATO STRATO AG,DE
